BioSample	BioSampleModel	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	depth	elev	lat_lon	sedimentology	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	samp_collect_device	samp_store_temp	samp_vol_we_dna_ext
SAMN06244112	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505888	12B	26	17	SRR5190060	SRS1930158	U1433A_8H2_136_138	07-Mar-2014	68.76 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244111	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505889	12A	15	8	SRR5190061	SRS1930159	U1433A_7H2_136_138	07-Mar-2014	59.26 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244110	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505890	11I	18	10	SRR5190062	SRS1930160	U1433A_13H3_87_89	07-Mar-2014	117.11 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244109	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505891	11H	22	13	SRR5190063	SRS1930161	U1433A_13H3_86_87	07-Mar-2014	117.1 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash - Calcareous Ooze Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244108	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505892	11G	21	13	SRR5190064	SRS1930162	U1433A_13H3_82_84	07-Mar-2014	117.06 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244107	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505893	11F	18	10	SRR5190065	SRS1930163	U1433A_12H4_137_139	07-Mar-2014	109.62 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244106	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505894	11E	14	8	SRR5190066	SRS1930164	U1433A_12H4_133_134	07-Mar-2014	109.58 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244105	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505895	11D	19	12	SRR5190067	SRS1930165	U1433A_12H4_130_132	07-Mar-2014	109.55 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244104	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505896	11C	16	10	SRR5190068	SRS1930166	U1432C_11H5_45_47	16-Feb-2014	97.45 m	-3829 m	18.3514 N 116.3908 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244103	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505897	11B	10	6	SRR5190069	SRS1930167	U1432C_11H5_43_44	16-Feb-2014	97.43 m	-3829 m	18.3514 N 116.3908 E	Calcareous Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
